,Drug,Cell
235,755985,SF_295
114,320846,SF_295
131,357704,OVCAR_3
3,762,SW_620
170,634724,SF_295
117,329680,PC_3
153,606869,SF_539
146,603077,HL_60
59,132483,MOLT_4
31,79037,A498
192,681645,NCI_H522
20,38721,EKVX
191,681644,NCI_H522
192,681645,NCI_H460
205,708298,MCF7
218,736202,NCI_H226
108,301739,MOLT_4
175,639186,SK_MEL_2
167,627505,CAKI_1
16,26980,OVCAR_5
97,268242,MALME_3M
41,100880,SF_268
9,8806,NCI_H522
51,118994,HT29
225,747856,MDA_MB_231
141,409962,BT_549
7,3088,K_562
248,758667,786_0
61,134679,OVCAR_5
177,656889,SNB_75
37,95382,HCC_2998
148,606172,SK_MEL_5
107,296934,CCRF_CEM
169,633782,HOP_92
229,754365,M14
128,354258,SR
205,708298,HOP_62
157,610456,SNB_19
68,143020,MOLT_4
104,295499,SK_OV_3
139,374028,HL_60
181,681634,PC_3
53,123127,OVCAR_5
191,681644,TK_10
61,134679,BT_549
82,178248,MDA_MB_435
240,757098,CAKI_1
99,271674,LOXIMVI
259,765396,CCRF_CEM
93,256942,786_0
162,616348,EKVX
16,26980,SN12C
115,326231,OVCAR_5
70,145668,HCC_2998
141,409962,PC_3
12,19893,MOLT_4
118,337766,HCC_2998
206,709237,NCI_ADR_RES
245,758255,SK_MEL_28
49,111533,CAKI_1
134,365798,HCC_2998
111,308847,OVCAR_4
96,267469,SF_268
48,109724,SN12C
92,256927,SN12C
177,656889,OVCAR_3
266,784722,SK_MEL_28
151,606498,SF_539
41,100880,CAKI_1
48,109724,NCI_H322M
7,3088,MOLT_4
152,606499,SNB_19
267,789797,HT29
92,256927,T47D
76,164011,A549
68,143020,SN12C
1,752,KM12
191,681644,HS578T
255,759857,EKVX
223,740521,MALME_3M
164,619232,BT_549
75,163501,EKVX
210,721517,MCF7
224,740645,UACC_62
52,122819,SR
214,734294,SF_539
198,683558,KM12
247,758612,UO_31
23,56410,A549
164,619232,UACC_257
193,681646,CAKI_1
244,758251,OVCAR_3
141,409962,OVCAR_3
244,758251,U251
12,19893,KM12
202,698037,DU_145
86,224131,U251
148,606172,SNB_75
167,627505,T47D
97,268242,SR
86,224131,SF_295
189,681642,SW_620
61,134679,SR
204,706744,NCI_H322M
208,719276,M14
69,143095,HCC_2998
260,765775,HCT_15
123,349174,CAKI_1
195,683555,LOXIMVI
209,719627,HCT_15
186,681639,786_0
231,754771,NCI_H23
154,606985,SK_MEL_28
18,32065,M14
231,754771,786_0
244,758251,MDA_MB_231
64,138783,SF_268
216,736198,NCI_H226
264,772992,SNB_19
180,681633,MOLT_4
225,747856,TK_10
5,1895,LOXIMVI
105,295500,SK_MEL_28
120,343499,NCI_H522
119,338947,NCI_ADR_RES
69,143095,SF_268
43,104800,ACHN
202,698037,SK_MEL_2
18,32065,T47D
100,276382,A498
150,606497,RPMI_8226
113,314622,EKVX
92,256927,MALME_3M
124,351710,SNB_75
111,308847,TK_10
93,256942,HL_60
117,329680,SK_MEL_2
25,63984,PC_3
17,27640,HT29
87,241240,SR
183,681636,ACHN
44,105014,OVCAR_3
219,736493,NCI_H522
10,9706,HT29
258,760764,U251
116,328410,EKVX
126,352299,A498
129,354646,SF_539
40,95678,786_0
244,758251,HT29
19,34462,K_562
204,706744,UACC_62
192,681645,HCC_2998
46,107124,SK_MEL_28
159,610458,U251
112,312887,SK_MEL_28
227,753686,SW_620
197,683557,OVCAR_3
126,352299,SF_268
101,279836,OVCAR_8
83,182986,UO_31
237,756717,HL_60
161,613327,IGROV1
186,681639,NCI_H522
210,721517,T47D
128,354258,SW_620
176,643833,HCT_116
82,178248,CCRF_CEM
73,154948,SK_MEL_2
135,366140,NCI_H226
77,167780,SK_OV_3
64,138783,UO_31
111,308847,LOXIMVI
19,34462,TK_10
237,756717,M14
262,768112,NCI_H226
32,82151,DU_145
243,758230,SNB_75
105,295500,COLO205
94,264137,HS578T
257,760419,SF_268
84,184692,HCT_116
71,148958,SK_OV_3
60,134033,IGROV1
7,3088,HOP_62
138,369395,SK_OV_3
87,241240,M14
162,616348,HCC_2998
138,369395,TK_10
250,758706,KM12
209,719627,EKVX
37,95382,UACC_257
210,721517,HCT_116
64,138783,SN12C
246,758423,A498
28,71851,COLO205
63,135758,RPMI_8226
67,141549,HL_60
145,603076,SF_268
199,694501,HCC_2998
68,143020,UACC_257
95,266046,IGROV1
88,246131,M14
23,56410,RPMI_8226
192,681645,HS578T
67,141549,SR
263,768593,SNB_19
206,709237,K_562
151,606498,786_0
69,143095,SK_MEL_2
152,606499,OVCAR_5
192,681645,HCT_116
159,610458,DU_145
76,164011,SW_620
210,721517,MOLT_4
96,267469,786_0
70,145668,MCF7
96,267469,RXF_393
82,178248,NCI_ADR_RES
65,139105,SK_MEL_5
65,139105,SF_268
24,63878,DU_145
44,105014,DU_145
41,100880,T47D
175,639186,HCT_116
228,754230,UACC_62
229,754365,BT_549
182,681635,MCF7
188,681641,NCI_H23
86,224131,DU_145
121,344007,EKVX
194,682298,SW_620
147,606170,SK_OV_3
51,118994,COLO205
184,681637,IGROV1
237,756717,UO_31
170,634724,SK_OV_3
58,132313,SW_620
206,709237,OVCAR_3
133,364830,MALME_3M
24,63878,HOP_62
112,312887,UO_31
174,639174,MDA_MB_435
59,132483,NCI_H226
204,706744,U251
220,736624,MOLT_4
58,132313,HL_60
39,95466,ACHN
115,326231,SNB_75
198,683558,NCI_H460
39,95466,KM12
15,26271,UACC_62
240,757098,OVCAR_8
107,296934,SNB_19
163,618939,HCT_15
193,681646,OVCAR_5
109,302991,SF_539
20,38721,SK_OV_3
20,38721,CAKI_1
234,755880,SK_OV_3
261,767125,MOLT_4
47,107392,A549
98,269148,SW_620
164,619232,T47D
75,163501,OVCAR_3
230,754366,MALME_3M
44,105014,IGROV1
208,719276,A549
177,656889,MCF7
222,740268,MCF7
260,765775,LOXIMVI
76,164011,HT29
44,105014,UO_31
3,762,HL_60
94,264137,OVCAR_5
103,287459,SK_MEL_5
37,95382,SF_268
146,603077,EKVX
249,758671,COLO205
149,606173,UACC_257
116,328410,COLO205
174,639174,ACHN
118,337766,KM12
148,606172,SR
247,758612,SR
194,682298,U251
157,610456,KM12
201,697912,KM12
159,610458,MDA_MB_231
208,719276,SK_MEL_28
224,740645,CCRF_CEM
160,610459,BT_549
140,374551,MDA_MB_231
49,111533,MALME_3M
30,77213,U251
205,708298,HCT_15
5,1895,MOLT_4
212,725776,NCI_H322M
58,132313,NCI_ADR_RES
109,302991,M14
176,643833,NCI_ADR_RES
54,124463,786_0
181,681634,SN12C
230,754366,RPMI_8226
154,606985,HS578T
44,105014,U251
56,126771,MCF7
231,754771,NCI_H522
10,9706,HCT_116
134,365798,SK_OV_3
90,249992,NCI_H226
179,681632,CAKI_1
171,637037,SN12C
97,268242,NCI_H322M
97,268242,CAKI_1
160,610459,RPMI_8226
248,758667,NCI_H322M
244,758251,A549
84,184692,SF_539
40,95678,T47D
185,681638,NCI_H460
82,178248,PC_3
74,156303,MDA_MB_435
143,603071,COLO205
199,694501,HOP_62
97,268242,HCC_2998
9,8806,CCRF_CEM
87,241240,U251
14,25154,HCT_15
158,610457,UACC_62
63,135758,UACC_257
237,756717,OVCAR_8
196,683556,HCT_15
146,603077,HOP_92
179,681632,NCI_H322M
241,757348,NCI_H226
109,302991,HCT_116
164,619232,SF_539
242,757804,SN12C
26,71261,RXF_393
62,134727,K_562
138,369395,ACHN
242,757804,HL_60
237,756717,LOXIMVI
45,105132,SF_295
241,757348,SK_OV_3
212,725776,HS578T
190,681643,HOP_62
258,760764,SK_OV_3
206,709237,BT_549
245,758255,HCC_2998
218,736202,UACC_257
13,24559,LOXIMVI
91,256439,COLO205
24,63878,SR
198,683558,SK_MEL_5
188,681641,OVCAR_4
138,369395,IGROV1
59,132483,MDA_MB_435
2,755,MCF7
155,606986,NCI_H226
12,19893,DU_145
112,312887,SR
51,118994,HS578T
229,754365,DU_145
104,295499,UACC_62
10,9706,786_0
253,759263,LOXIMVI
181,681634,A498
6,3053,TK_10
171,637037,A549
76,164011,HCT_116
9,8806,SR
103,287459,LOXIMVI
40,95678,NCI_H522
34,85998,U251
50,118218,U251
243,758230,SK_OV_3
45,105132,MDA_MB_435
76,164011,U251
14,25154,NCI_H522
253,759263,RXF_393
166,627168,HOP_62
108,301739,SNB_19
249,758671,CAKI_1
248,758667,OVCAR_4
203,702294,SN12C
65,139105,HL_60
262,768112,OVCAR_3
129,354646,HL_60
200,697887,HS578T
32,82151,SW_620
17,27640,SN12C
220,736624,HCT_15
17,27640,M14
205,708298,PC_3
5,1895,NCI_H226
183,681636,RXF_393
251,759155,SK_MEL_2
40,95678,HT29
244,758251,NCI_H522
153,606869,A498
5,1895,HOP_62
58,132313,M14
33,83142,TK_10
77,167780,HOP_62
102,281612,HCT_15
207,710270,OVCAR_4
60,134033,SF_539
266,784722,PC_3
89,249910,LOXIMVI
47,107392,HCT_15
48,109724,SF_539
211,724998,MCF7
261,767125,A549
50,118218,NCI_H460
196,683556,DU_145
126,352299,SN12C
199,694501,K_562
99,271674,NCI_H460
21,45388,HL_60
156,609699,U251
257,760419,KM12
266,784722,CCRF_CEM
102,281612,MOLT_4
204,706744,OVCAR_5
257,760419,MCF7
203,702294,CAKI_1
46,107124,NCI_H460
155,606986,M14
242,757804,IGROV1
128,354258,UO_31
117,329680,EKVX
116,328410,IGROV1
70,145668,MDA_N
169,633782,HL_60
7,3088,NCI_ADR_RES
205,708298,OVCAR_3
147,606170,NCI_ADR_RES
223,740521,HCT_116
223,740521,UO_31
30,77213,HCT_116
251,759155,UACC_62
178,673596,MOLT_4
212,725776,SK_MEL_5
66,141540,RPMI_8226
105,295500,SW_620
204,706744,PC_3
160,610459,MCF7
65,139105,OVCAR_3
30,77213,SNB_75
139,374028,RXF_393
167,627505,SK_MEL_2
122,348948,NCI_H226
79,172112,SN12C
48,109724,IGROV1
260,765775,RXF_393
202,698037,NCI_ADR_RES
132,363812,MDA_N
68,143020,SK_MEL_2
64,138783,CCRF_CEM
160,610459,A549
251,759155,KM12
62,134727,NCI_H460
46,107124,CAKI_1
80,174121,OVCAR_5
144,603074,SW_620
127,353451,HS578T
192,681645,ACHN
74,156303,NCI_H522
239,757087,HL_60
6,3053,CAKI_1
187,681640,SF_295
62,134727,M14
169,633782,U251
240,757098,SF_295
242,757804,U251
223,740521,M14
66,141540,UACC_62
262,768112,SR
90,249992,MCF7
159,610458,NCI_H322M
23,56410,NCI_ADR_RES
260,765775,SK_OV_3
184,681637,786_0
63,135758,U251
208,719276,NCI_H460
84,184692,T47D
148,606172,MCF7
227,753686,M14
228,754230,OVCAR_3
10,9706,SK_MEL_2
55,125066,COLO205
7,3088,SF_268
158,610457,SR
216,736198,HOP_92
6,3053,A549
44,105014,OVCAR_5
71,148958,LOXIMVI
63,135758,HT29
32,82151,NCI_H23
41,100880,A498
143,603071,MDA_MB_435
8,6396,HCT_15
174,639174,A498
66,141540,SNB_75
192,681645,SNB_19
214,734294,MCF7
131,357704,HL_60
90,249992,BT_549
137,369100,U251
260,765775,MCF7
72,153353,SNB_19
106,295501,NCI_H460
180,681633,786_0
186,681639,HS578T
96,267469,EKVX
175,639186,HL_60
177,656889,SF_295
7,3088,SK_MEL_5
235,755985,UACC_62
8,6396,HCC_2998
263,768593,A549
19,34462,SK_MEL_28
216,736198,HCC_2998
195,683555,UACC_257
255,759857,NCI_H23
40,95678,HL_60
200,697887,NCI_H522
249,758671,UACC_62
170,634724,M14
267,789797,NCI_H460
21,45388,UACC_257
65,139105,MCF7
102,281612,OVCAR_8
157,610456,OVCAR_8
251,759155,CAKI_1
165,623017,NCI_ADR_RES
223,740521,A498
221,737518,HS578T
45,105132,SNB_19
181,681634,A549
116,328410,K_562
185,681638,NCI_ADR_RES
43,104800,HCT_15
121,344007,NCI_ADR_RES
206,709237,SK_OV_3
195,683555,HCC_2998
145,603076,SF_539
76,164011,CCRF_CEM
103,287459,NCI_H226
113,314622,COLO205
163,618939,HT29
38,95441,MOLT_4
166,627168,RXF_393
216,736198,UACC_257
247,758612,SK_MEL_5
255,759857,UO_31
114,320846,M14
0,740,HS578T
127,353451,MDA_N
232,755384,HS578T
133,364830,HS578T
30,77213,NCI_H23
66,141540,T47D
175,639186,BT_549
266,784722,SF_539
219,736493,NCI_H322M
66,141540,SK_MEL_5
92,256927,K_562
237,756717,KM12
101,279836,OVCAR_4
168,629971,SF_268
19,34462,NCI_H522
66,141540,SF_295
173,638066,UO_31
169,633782,SF_295
91,256439,SF_295
244,758251,OVCAR_4
46,107124,TK_10
144,603074,SF_268
37,95382,HT29
113,314622,HL_60
175,639186,UACC_62
101,279836,NCI_H322M
232,755384,IGROV1
111,308847,HL_60
82,178248,SNB_75
233,755841,CAKI_1
35,89201,MOLT_4
102,281612,A498
245,758255,MOLT_4
192,681645,HL_60
241,757348,HL_60
209,719627,T47D
265,783107,UACC_62
197,683557,NCI_H460
206,709237,NCI_H23
110,303812,NCI_H322M
153,606869,HT29
68,143020,NCI_H322M
154,606985,A498
161,613327,SNB_75
5,1895,KM12
162,616348,BT_549
163,618939,COLO205
12,19893,UACC_62
173,638066,SK_OV_3
92,256927,OVCAR_5
119,338947,DU_145
254,759614,PC_3
172,637651,SF_268
53,123127,A498
51,118994,SF_539
193,681646,NCI_H460
105,295500,SNB_19
90,249992,SF_539
139,374028,MDA_MB_231
7,3088,HL_60
94,264137,K_562
24,63878,MDA_MB_435
249,758671,ACHN
58,132313,SK_MEL_2
97,268242,SNB_19
9,8806,UACC_257
192,681645,SF_539
85,218321,MCF7
54,124463,SK_MEL_28
27,71795,SK_MEL_28
107,296934,BT_549
118,337766,OVCAR_5
263,768593,KM12
156,609699,MDA_MB_435
161,613327,SR
256,759878,HT29
172,637651,OVCAR_8
103,287459,A498
85,218321,SF_539
78,169780,SF_268
209,719627,MDA_N
195,683555,COLO205
8,6396,A498
185,681638,LOXIMVI
119,338947,OVCAR_5
111,308847,U251
266,784722,EKVX
131,357704,ACHN
41,100880,SNB_75
202,698037,IGROV1
63,135758,PC_3
62,134727,KM12
153,606869,CAKI_1
253,759263,HCT_15
32,82151,UO_31
83,182986,PC_3
135,366140,SN12C
268,791785,NCI_H322M
225,747856,HCT_116
200,697887,SNB_19
69,143095,U251
203,702294,SR
58,132313,SF_295
81,176323,NCI_H522
182,681635,OVCAR_3
84,184692,LOXIMVI
38,95441,RPMI_8226
183,681636,MOLT_4
61,134679,MDA_MB_435
263,768593,CAKI_1
19,34462,NCI_H460
151,606498,SK_MEL_2
66,141540,OVCAR_4
34,85998,OVCAR_3
260,765775,SF_539
253,759263,HOP_62
196,683556,SK_MEL_5
33,83142,HS578T
222,740268,NCI_H322M
200,697887,SR
255,759857,OVCAR_3
179,681632,ACHN
80,174121,SK_OV_3
117,329680,IGROV1
58,132313,HOP_92
54,124463,SW_620
230,754366,U251
258,760764,LOXIMVI
196,683556,RPMI_8226
92,256927,ACHN
57,127716,MALME_3M
190,681643,CCRF_CEM
100,276382,SK_MEL_5
88,246131,A498
43,104800,TK_10
133,364830,LOXIMVI
192,681645,HOP_92
175,639186,SNB_75
169,633782,HCT_15
209,719627,LOXIMVI
76,164011,MDA_N
38,95441,UACC_257
86,224131,SN12C
116,328410,HOP_92
268,791785,A498
115,326231,LOXIMVI
154,606985,CCRF_CEM
18,32065,MCF7
231,754771,HCT_116
87,241240,HT29
52,122819,MCF7
110,303812,UO_31
193,681646,BT_549
35,89201,LOXIMVI
226,752840,SK_MEL_2
244,758251,M14
71,148958,SR
160,610459,MDA_N
102,281612,HCC_2998
150,606497,COLO205
233,755841,SF_268
153,606869,MCF7
43,104800,NCI_H23
231,754771,NCI_H322M
132,363812,HCC_2998
204,706744,HL_60
121,344007,MCF7
83,182986,UACC_62
52,122819,786_0
159,610458,SW_620
195,683555,SW_620
21,45388,CCRF_CEM
143,603071,UACC_257
213,728073,OVCAR_3
215,735037,HCC_2998
152,606499,NCI_H460
204,706744,HT29
6,3053,SW_620
160,610459,NCI_H522
167,627505,DU_145
180,681633,HOP_92
61,134679,NCI_H460
231,754771,MDA_MB_231
253,759263,SK_MEL_2
134,365798,HCT_15
247,758612,SK_MEL_2
234,755880,A498
56,126771,HL_60
65,139105,HCT_15
232,755384,U251
98,269148,A549
43,104800,OVCAR_3
127,353451,SF_539
50,118218,T47D
167,627505,MDA_MB_231
203,702294,LOXIMVI
16,26980,SF_295
245,758255,SNB_19
230,754366,RXF_393
1,752,CAKI_1
35,89201,UACC_62
42,102627,T47D
18,32065,SK_MEL_2
68,143020,HL_60
58,132313,HT29
173,638066,COLO205
121,344007,M14
15,26271,OVCAR_5
102,281612,CCRF_CEM
100,276382,SF_268
85,218321,RXF_393
40,95678,KM12
4,1390,U251
257,760419,ACHN
179,681632,SF_539
96,267469,CAKI_1
15,26271,SN12C
244,758251,MDA_MB_435
60,134033,SR
75,163501,SK_MEL_5
227,753686,T47D
107,296934,SF_295
105,295500,HCC_2998
140,374551,HOP_92
93,256942,SK_MEL_2
27,71795,KM12
154,606985,KM12
235,755985,SNB_19
205,708298,NCI_ADR_RES
191,681644,MCF7
175,639186,SF_539
8,6396,HOP_62
0,740,A549
17,27640,OVCAR_3
78,169780,HCT_116
78,169780,SF_295
28,71851,SNB_75
243,758230,HOP_62
171,637037,SF_268
224,740645,KM12
68,143020,K_562
212,725776,OVCAR_3
137,369100,OVCAR_4
222,740268,HS578T
82,178248,OVCAR_8
66,141540,HCT_15
201,697912,SF_295
23,56410,HS578T
183,681636,MCF7
171,637037,NCI_ADR_RES
178,673596,EKVX
263,768593,NCI_ADR_RES
88,246131,SK_MEL_28
186,681639,SF_539
254,759614,SK_MEL_2
235,755985,SN12C
148,606172,TK_10
84,184692,SK_MEL_28
122,348948,NCI_H460
178,673596,T47D
252,759195,OVCAR_5
138,369395,NCI_H226
119,338947,K_562
71,148958,OVCAR_4
37,95382,RPMI_8226
167,627505,MCF7
28,71851,ACHN
230,754366,MOLT_4
263,768593,ACHN
138,369395,NCI_H460
222,740268,HCT_116
125,352122,HCT_15
222,740268,TK_10
91,256439,DU_145
137,369100,SW_620
180,681633,OVCAR_3
210,721517,NCI_H226
138,369395,MDA_MB_435
264,772992,SF_539
3,762,A498
185,681638,MDA_MB_435
215,735037,HL_60
137,369100,NCI_H460
215,735037,HCT_15
103,287459,786_0
120,343499,HCT_116
191,681644,SW_620
75,163501,SK_MEL_28
224,740645,MCF7
45,105132,HOP_62
191,681644,MALME_3M
218,736202,U251
181,681634,MDA_MB_435
121,344007,SF_539
155,606986,ACHN
107,296934,NCI_H23
177,656889,HCC_2998
134,365798,OVCAR_8
43,104800,HCC_2998
106,295501,NCI_H23
219,736493,RPMI_8226
2,755,NCI_ADR_RES
94,264137,RPMI_8226
259,765396,MDA_MB_435
184,681637,MOLT_4
174,639174,KM12
90,249992,HCC_2998
44,105014,MALME_3M
5,1895,CAKI_1
72,153353,786_0
178,673596,NCI_ADR_RES
139,374028,A549
236,756660,HCT_15
112,312887,786_0
109,302991,CCRF_CEM
189,681642,UACC_257
143,603071,KM12
145,603076,TK_10
179,681632,NCI_H522
173,638066,SN12C
32,82151,MDA_MB_231
14,25154,M14
138,369395,SK_MEL_28
189,681642,HCC_2998
250,758706,NCI_H522
66,141540,NCI_H460
141,409962,RXF_393
45,105132,MDA_MB_231
9,8806,HCC_2998
39,95466,OVCAR_8
250,758706,A498
33,83142,HOP_92
135,366140,NCI_H522
23,56410,MDA_MB_231
170,634724,SW_620
223,740521,786_0
34,85998,HOP_92
208,719276,MALME_3M
183,681636,KM12
115,326231,HCC_2998
195,683555,NCI_ADR_RES
231,754771,SF_268
198,683558,UACC_62
45,105132,EKVX
81,176323,TK_10
157,610456,SW_620
4,1390,UACC_257
72,153353,LOXIMVI
258,760764,ACHN
178,673596,786_0
54,124463,TK_10
207,710270,T47D
36,94600,NCI_H460
181,681634,NCI_H322M
221,737518,NCI_H460
16,26980,LOXIMVI
128,354258,OVCAR_4
92,256927,RXF_393
146,603077,SK_MEL_28
94,264137,OVCAR_8
79,172112,NCI_H23
68,143020,IGROV1
263,768593,SK_OV_3
70,145668,MOLT_4
127,353451,HOP_62
97,268242,786_0
256,759878,OVCAR_3
236,756660,EKVX
190,681643,HCT_15
168,629971,OVCAR_3
268,791785,UACC_62
165,623017,SNB_19
210,721517,COLO205
179,681632,T47D
163,618939,RXF_393
234,755880,HS578T
244,758251,OVCAR_5
26,71261,HL_60
230,754366,UACC_62
236,756660,KM12
234,755880,U251
65,139105,HT29
199,694501,OVCAR_4
265,783107,TK_10
239,757087,SK_MEL_5
159,610458,PC_3
170,634724,HS578T
188,681641,SNB_75
242,757804,NCI_H522
228,754230,HCT_15
6,3053,ACHN
238,757036,NCI_H460
207,710270,UO_31
146,603077,HCT_15
181,681634,SNB_19
200,697887,MALME_3M
106,295501,A549
257,760419,HCC_2998
154,606985,IGROV1
104,295499,HOP_92
155,606986,SK_MEL_28
256,759878,U251
3,762,SF_268
216,736198,SF_295
83,182986,HT29
74,156303,SK_MEL_5
42,102627,SW_620
90,249992,CAKI_1
4,1390,RPMI_8226
184,681637,OVCAR_5
89,249910,NCI_H460
242,757804,PC_3
106,295501,SNB_75
37,95382,HL_60
222,740268,SNB_19
71,148958,UACC_62
69,143095,NCI_H322M
265,783107,HCC_2998
162,616348,SN12C
254,759614,HCT_116
194,682298,TK_10
266,784722,TK_10
21,45388,HCT_15
260,765775,SR
205,708298,SNB_75
200,697887,UACC_62
218,736202,PC_3
260,765775,RPMI_8226
118,337766,NCI_H522
69,143095,HCT_15
233,755841,HL_60
50,118218,SK_MEL_5
231,754771,M14
138,369395,NCI_H23
93,256942,HCT_116
111,308847,NCI_H460
122,348948,UACC_62
146,603077,SNB_75
148,606172,HCC_2998
47,107392,UO_31
175,639186,K_562
169,633782,OVCAR_3
103,287459,MALME_3M
96,267469,COLO205
177,656889,786_0
117,329680,CAKI_1
44,105014,HCT_15
163,618939,UO_31
54,124463,OVCAR_3
81,176323,PC_3
194,682298,HOP_62
120,343499,NCI_H23
215,735037,DU_145
41,100880,EKVX
47,107392,TK_10
255,759857,A498
232,755384,MDA_MB_435
129,354646,UO_31
1,752,MOLT_4
149,606173,SK_MEL_2
79,172112,NCI_H460
58,132313,UACC_257
212,725776,U251
159,610458,UO_31
9,8806,NCI_H23
256,759878,HOP_92
28,71851,HL_60
59,132483,NCI_ADR_RES
233,755841,NCI_H322M
251,759155,LOXIMVI
80,174121,UACC_257
59,132483,A549
3,762,HS578T
227,753686,OVCAR_8
190,681643,T47D
187,681640,MOLT_4
230,754366,786_0
69,143095,UO_31
117,329680,OVCAR_3
121,344007,ACHN
265,783107,UO_31
99,271674,MALME_3M
163,618939,ACHN
12,19893,SK_MEL_5
86,224131,NCI_H460
243,758230,OVCAR_8
48,109724,K_562
166,627168,CAKI_1
252,759195,U251
40,95678,OVCAR_3
55,125066,NCI_H460
236,756660,SF_295
236,756660,MOLT_4
31,79037,SNB_75
225,747856,RPMI_8226
224,740645,SK_MEL_5
171,637037,NCI_H23
162,616348,NCI_H226
159,610458,NCI_H522
252,759195,HCC_2998
114,320846,CCRF_CEM
4,1390,MDA_MB_435
219,736493,TK_10
242,757804,HOP_92
109,302991,NCI_H226
61,134679,SK_MEL_5
234,755880,MCF7
219,736493,MALME_3M
86,224131,NCI_ADR_RES
123,349174,MDA_N
261,767125,ACHN
153,606869,HCT_116
261,767125,M14
174,639174,HL_60
109,302991,MALME_3M
168,629971,HCT_15
132,363812,OVCAR_8
186,681639,LOXIMVI
113,314622,OVCAR_4
26,71261,MCF7
263,768593,NCI_H322M
115,326231,SK_MEL_5
121,344007,786_0
195,683555,HOP_92
103,287459,CAKI_1
225,747856,DU_145
194,682298,MALME_3M
151,606498,EKVX
241,757348,NCI_H460
235,755985,NCI_H226
67,141549,NCI_ADR_RES
268,791785,MDA_MB_435
72,153353,OVCAR_5
182,681635,DU_145
265,783107,OVCAR_4
257,760419,SN12C
164,619232,NCI_ADR_RES
176,643833,T47D
214,734294,HCC_2998
154,606985,K_562
12,19893,A498
172,637651,ACHN
87,241240,ACHN
46,107124,MDA_MB_435
83,182986,A549
159,610458,IGROV1
257,760419,UO_31
212,725776,SNB_19
152,606499,SW_620
0,740,SW_620
118,337766,SK_MEL_28
121,344007,HCT_15
14,25154,T47D
179,681632,SW_620
26,71261,MALME_3M
261,767125,HS578T
195,683555,SR
197,683557,RXF_393
4,1390,COLO205
35,89201,U251
161,613327,HT29
241,757348,SR
147,606170,UACC_62
94,264137,UO_31
199,694501,HT29
82,178248,NCI_H226
261,767125,U251
227,753686,SNB_19
102,281612,RPMI_8226
1,752,HT29
169,633782,ACHN
125,352122,CAKI_1
191,681644,ACHN
158,610457,OVCAR_4
219,736493,SK_OV_3
163,618939,HCC_2998
81,176323,KM12
59,132483,HT29
128,354258,NCI_H322M
228,754230,OVCAR_8
210,721517,SF_268
179,681632,A549
159,610458,SK_MEL_5
49,111533,HL_60
190,681643,HCC_2998
150,606497,RXF_393
130,355644,U251
162,616348,SNB_19
262,768112,MDA_MB_435
11,14229,UACC_62
216,736198,HS578T
163,618939,OVCAR_4
266,784722,M14
218,736202,UO_31
124,351710,NCI_H23
245,758255,HCT_15
87,241240,SF_539
238,757036,NCI_ADR_RES
19,34462,UO_31
104,295499,SNB_19
11,14229,A498
220,736624,MALME_3M
213,728073,SF_295
221,737518,NCI_H23
80,174121,KM12
62,134727,OVCAR_4
181,681634,IGROV1
88,246131,SF_295
153,606869,SN12C
231,754771,MDA_MB_435
259,765396,HL_60
1,752,SF_295
121,344007,RXF_393
156,609699,HCC_2998
168,629971,PC_3
32,82151,CAKI_1
159,610458,SK_MEL_2
153,606869,SK_MEL_28
84,184692,SN12C
22,51143,SF_539
112,312887,HT29
7,3088,MDA_MB_435
44,105014,SF_539
107,296934,HOP_62
266,784722,NCI_H226
254,759614,NCI_H460
20,38721,SNB_19
9,8806,SNB_19
29,73754,HT29
173,638066,HCC_2998
22,51143,SW_620
198,683558,NCI_H23
3,762,MDA_N
105,295500,NCI_H522
262,768112,SNB_19
208,719276,HT29
124,351710,MOLT_4
63,135758,EKVX
39,95466,SN12C
164,619232,K_562
83,182986,MDA_MB_435
127,353451,SR
127,353451,UACC_257
133,364830,SK_OV_3
59,132483,SF_295
255,759857,SK_OV_3
187,681640,SF_268
223,740521,MOLT_4
195,683555,EKVX
56,126771,U251
176,643833,TK_10
171,637037,MOLT_4
71,148958,OVCAR_8
176,643833,NCI_H522
84,184692,NCI_ADR_RES
126,352299,RPMI_8226
109,302991,SK_MEL_2
116,328410,RPMI_8226
13,24559,NCI_H226
226,752840,CCRF_CEM
189,681642,RPMI_8226
40,95678,HS578T
235,755985,UACC_257
9,8806,HCT_15
100,276382,EKVX
253,759263,MCF7
200,697887,HCT_15
93,256942,LOXIMVI
81,176323,SK_MEL_2
129,354646,NCI_H23
220,736624,SF_539
136,368390,LOXIMVI
142,526598,RXF_393
1,752,SK_OV_3
125,352122,SR
257,760419,NCI_H460
187,681640,ACHN
229,754365,SNB_19
15,26271,HOP_62
117,329680,ACHN
259,765396,A549
121,344007,MOLT_4
122,348948,SW_620
77,167780,RPMI_8226
240,757098,786_0
20,38721,RPMI_8226
93,256942,U251
59,132483,CCRF_CEM
10,9706,UACC_257
107,296934,A549
141,409962,UO_31
236,756660,ACHN
60,134033,EKVX
170,634724,OVCAR_3
174,639174,SNB_75
88,246131,SR
258,760764,A549
127,353451,LOXIMVI
193,681646,NCI_H322M
101,279836,HCC_2998
81,176323,SF_539
128,354258,SK_OV_3
150,606497,SK_MEL_2
175,639186,HOP_62
158,610457,HL_60
65,139105,SK_OV_3
2,755,SK_MEL_2
188,681641,OVCAR_5
15,26271,HL_60
76,164011,SR
